Name,Address,Latitude,Longitude,rating,user_ratings_total,phone,website,price_level,Place ID,category
BEAUTY PLAZA,"Calle de Venustiano Carranza 155, Local C.esquina, Jesús María, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, Mexico",19.4301442,-99.1284286,4.2,,,,,ChIJt4bRhMv-0YURGgTkpdIEfeg,beauty_salon
Anandi Day Spa Torre Mayor,"Av. P.º de la Reforma 505, Cuauhtémoc, 06500 Ciudad de México, CDMX, Mexico",19.424167,-99.175556,4.9,,,,,ChIJbx-flU7_0YURda6g6vutTGE,beauty_salon
Kiki Nail Bar,"Av. Álvaro Obregón 189, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.4178204,-99.1636267,4.3,,,,,ChIJlWl6mTn_0YURXUPFV2NB0nA,beauty_salon
Pame Voguel Studio,"C. Milan 44-piso 1, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.4294147,-99.1569393,4.6,,,,,ChIJAQDkpXD_0YURZopJ0OFcgCY,beauty_salon
Calma Nail Bar,"Av. Insurgentes Sur 386, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",19.4098796,-99.1670327,4.8,,,,,ChIJJ6U-1K7_0YURyK2KhvbGk6I,beauty_salon
"Wax Revolution Condesa Ámsterdam - Láser , Cera, Hilo","Ámsterdam 127-A, Hipódromo Condesa, Cuauhtémoc, 06170 Ciudad de México, CDMX, Mexico",19.411949999999997,-99.1713752,4.8,,,,,ChIJfWLPEEH_0YURzwFqDvSWkFQ,beauty_salon
Rock Your Hair Studio,"Av Michoacán 65, Hipódromo Condesa, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",19.4116853,-99.1729692,4.6,,,,,ChIJif-kZEH_0YURPrU9YG2MzJY,beauty_salon
Marco Parra Hair Studio,"Av. Parras 22, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",19.414540499999998,-99.1706091,4.9,,,,,ChIJTzH2YAD_0YURKwJ-iMAuYOs,beauty_salon
Hi Hi Nails MX,"Tabasco 262, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.4177876,-99.1651837,4.3,,,,,ChIJbY2ZfVT_0YURRFs3JQGmplk,beauty_salon
Mad Scissors Temple Of Groom Barbería,"C. Dr. José María Vértiz 727, Narvarte Oriente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",19.3946015,-99.1514308,4.8,,,,,ChIJH0x1AAH_0YURiSabK_fyQUo,beauty_salon
Kiki Nail Bar REFORMA,"Hamburgo 214, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.4241891,-99.1687736,4.6,,,,,ChIJa_k_qMj_0YURNE0IDT6D9Ww,beauty_salon
Zacatecas,"calle pedro baranda 17, Tabacalera, Cuauhtémoc, 06030 Ciudad de México, CDMX, Mexico",19.436299599999998,-99.1521123,4.6,,,,,ChIJNfNFmcr50YUR0mKnI0pZs7E,beauty_salon
ESTETICA T&A Studio,"Miguel E. Schultz 27b, San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX, Mexico",19.4400276,-99.1602162,4.9,,,,,ChIJY-3F6AP50YURyH0HUDrdTHM,beauty_salon
Real Lashes & Brows Río Lerma,"C. Río Lerma 202, Cuauhtémoc, 06500 Ciudad de México, CDMX, Mexico",19.4275457,-99.1707213,4.1,,,,,ChIJMzqgmp7_0YURNKHQao3mzzc,beauty_salon
Kiki Nail Bar CONDESA,"Ámsterdam 171, Colonia Condesa, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",19.4097124,-99.1719311,4.4,,,,,ChIJtevQfV__0YURNTfIXHTBEjI,beauty_salon
Lemon @lemonbeautylab,"Av. Insurgentes Sur 388-Local B, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",19.409554099999998,-99.1670412,4.1,,,,,ChIJsbra_Ev_0YUR0MTiKVxwSXc,beauty_salon
Magic Touch,"Ezequiel Montes 71, Tabacalera, Cuauhtémoc, 06030 Ciudad de México, CDMX, Mexico",19.4371744,-99.1562339,3.8,,,,,ChIJrz4XBdL40YURzwi7MYTEhCQ,beauty_salon
"Youth for us [Face, Brows, Lashes] + Hydrafacial","Colima 220-Local 405, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.4191377,-99.1621563,4.6,,,,,ChIJO5YWfUn_0YUROIm9wOsYt8s,beauty_salon
Sara Roomer Nail Studio,"Av Michoacán 9, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",19.4108563,-99.1675193,4.8,,,,,ChIJlWoqKkr_0YUR9FhkweWRaX0,beauty_salon
Anandi Day Spa,"Torre Diana, C. Río Lerma 232, Cuauhtémoc, 06500 Ciudad de México, CDMX, Mexico",19.426678499999998,-99.1722066,4.8,,,,,ChIJd9MF6kv_0YURipw_m9z3rZA,beauty_salon
Sam's Club,"P.º de las Jacarandas 375, Col del Gas, Azcapotzalco, 02970 Ciudad de México, CDMX, Mexico",19.4651393,-99.1562646,4.3,,,,,ChIJHQgsgOX40YURl2nUkH_hTQ4,pharmacy
Farmacia París,"República de El Salvador 95-97, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, Mexico",19.429271,-99.1349766,4.1,,,,,ChIJH6pN08v-0YURKRUS7zPPj4g,pharmacy
Farmacia Paris 75,"República de El Salvador 75, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, Mexico",19.4294329,-99.1361008,4.2,,,,,ChIJ6Sh6Q9L-0YUR-gZeS8PeWZg,pharmacy
"Sanborns Madero | Restaurante, Tienda y Farmacia","Av Francisco I. Madero 4, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06500 Ejido del Centro, CDMX, Mexico",19.4341013,-99.1401775,4.4,,,,,ChIJU5d1n7gO0oURpi6tiQPNpxw,pharmacy
Soriana Híper Asturias,"Calz. Chabacano 43, Asturias, Cuauhtémoc, 06890 Ciudad de México, CDMX, Mexico",19.4082339,-99.1328211,3.9,,,,,ChIJM9PdXOj-0YURCvZ4Qd4oyr8,pharmacy
Sanborns,"Av. P.º de la Reforma 03, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.4281645,-99.1611849,4.3,,,,,ChIJ257tljP_0YURfeJmkbdRPq0,pharmacy
Woolworth,"Av. de los Insurgentes Sur 376, Roma Sur, Cuauhtémoc, 06760 Cuauthemoc, CDMX, Mexico",19.4102673,-99.166751,4.3,,,,,ChIJHT_f8j__0YURQRqQGsh_ayE,pharmacy
Mega Soriana Tlatelolco,"Calz. de la Ronda 88, Ex Hipódromo de Peralvillo, Cuauhtémoc, 06250 Ciudad de México, CDMX, Mexico",19.4558733,-99.1371677,3.8,,,,,ChIJ37hJQCT50YURlmh6MGMdnCY,pharmacy
Farmacia San Pablo Roma Norte,"Chihuahua 232-Local A, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.416358,-99.164856,3.7,,,,,ChIJLUmxAjn_0YURqFx8r7rq5Z0,pharmacy
Soriana Híper,"Av. Rio Consulado 2355, Amp Simón Bolívar, Venustiano Carranza, 15420 Ciudad de México, CDMX, Mexico",19.4486,-99.1006,3.8,,,,,ChIJc_rMi-L70YURx2BlQ6TZ6x0,pharmacy
Sanborns Aeropuerto,"Blvd. Puerto Aéreo 123, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX, Mexico",19.4242124,-99.0945809,4.2,,,,,ChIJY9Rc0x380YUR_ECoHHuETkQ,pharmacy
Droguería del centro,"República de El Salvador 105, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",19.4291269,-99.1343168,4.4,,,,,ChIJJXGhFLf_0YURoyuItoIJ_eQ,pharmacy
Soriana Híper,"Calz de Guadalupe 192, Vallejo, Gustavo A. Madero, 07870 Ciudad de México, CDMX, Mexico",19.4652398,-99.1252773,3.9,,,,,ChIJbZdFFBP50YURVAinRnl-dqs,pharmacy
Sanborns Villa de Cortés,"Calz. de Tlalpan 744, Moderna, Benito Juárez, 03510 Ciudad de México, CDMX, Mexico",19.3919882,-99.1379518,4.2,,,,,ChIJqSQe2vv-0YURSrk4Y9Q3F7g,pharmacy
"Bodega Aurrera, Insurgentes Norte","Av. Insurgentes Nte. 1190, Capultitlan, Gustavo A. Madero, 07370 Ciudad de México, CDMX, Mexico",19.4763056,-99.1341173,4.2,,,,,ChIJm9uzkYH50YURznoEoMyNOfo,pharmacy
Farmacia San Pablo Nuevo León,"Av Nuevo León 204-Local A, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",19.405335,-99.171118,3.9,,,,,ChIJz1EVTGr_0YUR2Ra94FVt_y4,pharmacy
Farmacia San Pablo,"Av. Cuauhtémoc 114, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, Mexico",19.420269,-99.153721,4,,,,,ChIJPdugQ_340YURHXPTP2GOqhY,pharmacy
Farmacia Guadalajara Campeche,"Campeche 90, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",19.410106,-99.1627411,3.5,,,,,ChIJo-HdbT7_0YURzjIdJLSFpvE,pharmacy
Sanborns,"Fray Servando Teresa de Mier 647, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, Mexico",19.4198541,-99.1146372,4.2,,,,,ChIJ5XWI_Lr-0YURMeBdUp5HsAk,pharmacy
Bodega Aurrera Etzatlán,"Etzatlán 25, Popular Rastro, Venustiano Carranza, 15220 Ciudad de México, CDMX, Mexico",19.4518005,-99.1195796,4.1,,,,,ChIJdblQ0Eb50YUR2zRtZmUdlWE,pharmacy
Walmart,"Av. Insurgentes Nte. 131, Buenavista, Cuauhtémoc, 06350 Ciudad de México, CDMX, Mexico",19.443986,-99.1531529,4.2,,,,,ChIJxcJ9j9D40YURbZF1Iup_gOA,department_store
Walmart,"Calz de Guadalupe 431, Guadalupe Tepeyac, Gustavo A. Madero, 07840 Ciudad de México, CDMX, Mexico",19.4720291,-99.1207007,4.2,,,,,ChIJ7WbaRYIBzoURVk8XlOjLO8Y,department_store
Liverpool Centro Histórico,"C. de Venustiano Carranza 92, Colonia Centro, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",19.4310148,-99.1334484,4.4,,,,,ChIJL4SlAc3-0YURjJmxLM6XHLo,department_store
Walmart Supercenter,"Calz. Ignacio Zaragoza 58, Industrial Puerto Aéreo, Venustiano Carranza, 15710 Ciudad de México, CDMX, Mexico",19.4195267,-99.0938122,4.1,,,,,ChIJAS7V267-0YURN-FO0qblu9Y,department_store
Pabellón Cuauhtémoc,"C. Antonio M. Anza 20, Centro Urbano Pdte. Juárez, Roma Sur, Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.411284,-99.1558475,4.2,,,,,ChIJJ4s8gsr_0YUR9h7V6FNd_YY,department_store
Liverpool,"Av. Cuauhtémoc 462, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",19.403409399999997,-99.1549139,4.5,,,,,ChIJizRu1Ob_0YUREQUof1zCiOc,department_store
Walmart,"Fray Servando Teresa de Mier 881, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, Mexico",19.4175589,-99.1056896,4.1,,,,,ChIJNd2MJaf-0YURT96J1oOa5tM,department_store
El Palacio de Hierro Centro,"20 de Noviembre 3, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",19.4312228,-99.1338981,4.5,,,,,ChIJxxUqY83-0YURfeUrLAsulCo,department_store
Walmart,"Lorenzo Boturini 258, Tránsito, Cuauhtémoc, 06820 Ciudad de México, CDMX, Mexico",19.4194449,-99.1302694,4.3,,,,,ChIJs2YFOcT-0YURb0aL86jgKu0,department_store
"Sanborns Madero | Restaurante, Tienda y Farmacia","Av Francisco I. Madero 4, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06500 Ejido del Centro, CDMX, Mexico",19.4341013,-99.1401775,4.4,,,,,ChIJU5d1n7gO0oURpi6tiQPNpxw,department_store
Sears,"Plaza Insurgentes, San Luis Potosí 214, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.4121781,-99.1660674,4.3,,,,,ChIJ41TTQZX_0YUR_y7TTo3aYgM,department_store
Sears,"Av. Juarez 14, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06050 Ciudad de México, CDMX, Mexico",19.4340323,-99.1415724,4.3,,,,,ChIJUe0iPyv50YUR7ud0AFNdGTY,department_store
Sanborns,"Av. P.º de la Reforma 03, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.428164499999998,-99.1611849,4.3,,,,,ChIJ257tljP_0YURfeJmkbdRPq0,department_store
Woolworth,"Av. de los Insurgentes Sur 376, Roma Sur, Cuauhtémoc, 06760 Cuauthemoc, CDMX, Mexico",19.410267299999997,-99.166751,4.3,,,,,ChIJHT_f8j__0YURQRqQGsh_ayE,department_store
Suburbia,"20 de Noviembre 62, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",19.4296676,-99.1335173,4.1,,,,,ChIJd8fPT7gczoURyRWbUxbGbck,department_store
El Nuevo Mundo,"C. de Venustiano Carranza 72, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.4312348,-99.1348563,4.4,,,,,ChIJ75fOmtL-0YURW7kpUuzMHcI,department_store
Sanborns Aeropuerto,"Blvd. Puerto Aéreo 123, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX, Mexico",19.4242124,-99.0945809,4.2,,,,,ChIJY9Rc0x380YUR_ECoHHuETkQ,department_store
Sanborns,"Av. Insurgentes Sur 421, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",19.4077828,-99.1684069,4.1,,,,,ChIJX3JNqWr_0YURr1hLBUs2pFI,department_store
Sanborns Villa de Cortés,"Calz. de Tlalpan 744, Moderna, Benito Juárez, 03510 Ciudad de México, CDMX, Mexico",19.3919882,-99.1379518,4.2,,,,,ChIJqSQe2vv-0YURSrk4Y9Q3F7g,department_store
Suburbia,"Av. Insurgentes Nte. 151, Guerrero, Cuauhtémoc, 06300 Ciudad de México, CDMX, Mexico",19.445143899999998,-99.1527057,4.2,,,,,ChIJp3fITNL40YURw_0sIfcc02I,department_store
,,s,,,,,,,,
